metric,value
total_samples,400
evaluation_mode,abstention_only
majority_correct,137
majority_accuracy,0.3425
oracle_correct,234
oracle_accuracy,0.585
overconfidence_threshold,0.8
ambiguous_total,400
answerable_total,0
literal_correct,160
literal_wrong,240
literal_abstained,160
literal_accuracy,0.4
literal_answered,240
literal_selective_accuracy,0.6666666666666666
literal_abstention_rate,0.4
literal_overconfident_wrong,238
literal_overconfident_error_rate,0.9916666666666667
skeptic_correct,120
skeptic_wrong,280
skeptic_abstained,120
skeptic_accuracy,0.3
skeptic_answered,280
skeptic_selective_accuracy,0.42857142857142855
skeptic_abstention_rate,0.3
skeptic_overconfident_wrong,214
skeptic_overconfident_error_rate,0.7642857142857142
creative_correct,18
creative_wrong,382
creative_abstained,18
creative_accuracy,0.045
creative_answered,382
creative_selective_accuracy,0.04712041884816754
creative_abstention_rate,0.045
creative_overconfident_wrong,360
creative_overconfident_error_rate,0.9424083769633508
evidence_correct,158
evidence_wrong,242
evidence_abstained,158
evidence_accuracy,0.395
evidence_answered,242
evidence_selective_accuracy,0.6528925619834711
evidence_abstention_rate,0.395
evidence_overconfident_wrong,222
evidence_overconfident_error_rate,0.9173553719008265
