metric,value
total_samples,400
evaluation_mode,answer_accuracy
majority_correct,135
majority_accuracy,0.3375
oracle_correct,173
oracle_accuracy,0.4325
overconfidence_threshold,0.8
ambiguous_total,0
answerable_total,400
literal_correct,119
literal_wrong,281
literal_abstained,23
literal_accuracy,0.2975
literal_answered,377
literal_selective_accuracy,0.3156498673740053
literal_abstention_rate,0.0575
literal_overconfident_wrong,257
literal_overconfident_error_rate,0.9145907473309609
skeptic_correct,106
skeptic_wrong,294
skeptic_abstained,11
skeptic_accuracy,0.265
skeptic_answered,389
skeptic_selective_accuracy,0.27249357326478146
skeptic_abstention_rate,0.0275
skeptic_overconfident_wrong,251
skeptic_overconfident_error_rate,0.8537414965986394
creative_correct,117
creative_wrong,283
creative_abstained,6
creative_accuracy,0.2925
creative_answered,394
creative_selective_accuracy,0.2969543147208122
creative_abstention_rate,0.015
creative_overconfident_wrong,272
creative_overconfident_error_rate,0.9611307420494699
evidence_correct,112
evidence_wrong,288
evidence_abstained,84
evidence_accuracy,0.28
evidence_answered,316
evidence_selective_accuracy,0.35443037974683544
evidence_abstention_rate,0.21
evidence_overconfident_wrong,195
evidence_overconfident_error_rate,0.6770833333333334
